Superorder,Order,Family,Genus,Subgenus,Species
Strepsirrhini,Lemuroidea,Cheirogaleidae,Allocebus,Allocebus,Allocebus trichotis
Strepsirrhini,Lorisoidea,Lorisidae,Arctocebus,Arctocebus,Arctocebus aureus
Strepsirrhini,Lorisoidea,Lorisidae,Arctocebus,Arctocebus,Arctocebus calabarensis
Strepsirrhini,Lemuroidea,Indriidae,Avahi,Avahi2,Avahi betsileo
Strepsirrhini,Lemuroidea,Indriidae,Avahi,Avahi1,Avahi cleesei
Strepsirrhini,Lemuroidea,Indriidae,Avahi,Avahi2,Avahi laniger
Strepsirrhini,Lemuroidea,Indriidae,Avahi,Avahi2,Avahi meridionalis
Strepsirrhini,Lemuroidea,Indriidae,Avahi,Avahi2,Avahi mooreorum
Strepsirrhini,Lemuroidea,Indriidae,Avahi,Avahi1,Avahi occidentalis
Strepsirrhini,Lemuroidea,Indriidae,Avahi,Avahi2,Avahi peyrierasi
Strepsirrhini,Lemuroidea,Indriidae,Avahi,Avahi2,Avahi ramanantsoavanai
Strepsirrhini,Lemuroidea,Indriidae,Avahi,Avahi1,Avahi unicolor
Strepsirrhini,Lemuroidea,Cheirogaleidae,Cheirogaleus,Cheirogaleus,Cheirogaleus andysabini
Strepsirrhini,Lemuroidea,Cheirogaleidae,Cheirogaleus,Cheirogaleus,Cheirogaleus crossleyi
Strepsirrhini,Lemuroidea,Cheirogaleidae,Cheirogaleus,Cheirogaleus,Cheirogaleus grovesi
Strepsirrhini,Lemuroidea,Cheirogaleidae,Cheirogaleus,Cheirogaleus,Cheirogaleus lavasoensis
Strepsirrhini,Lemuroidea,Cheirogaleidae,Cheirogaleus,Cheirogaleus,Cheirogaleus major
Strepsirrhini,Lemuroidea,Cheirogaleidae,Cheirogaleus,Cheirogaleus,Cheirogaleus medius
Strepsirrhini,Lemuroidea,Cheirogaleidae,Cheirogaleus,Cheirogaleus,Cheirogaleus minusculus
Strepsirrhini,Lemuroidea,Cheirogaleidae,Cheirogaleus,Cheirogaleus,Cheirogaleus shethi
Strepsirrhini,Lemuroidea,Cheirogaleidae,Cheirogaleus,Cheirogaleus,Cheirogaleus sibreei
Strepsirrhini,Lemuroidea,Daubentoniidae,Daubentonia,Daubentonia,Daubentonia madagascariensis
Strepsirrhini,Lemuroidea,Lemuridae,Eulemur,Eulemur,Eulemur albifrons
Strepsirrhini,Lemuroidea,Lemuridae,Eulemur,Eulemur,Eulemur cinereiceps
Strepsirrhini,Lemuroidea,Lemuridae,Eulemur,Eulemur,Eulemur collaris
Strepsirrhini,Lemuroidea,Lemuridae,Eulemur,Eulemur,Eulemur coronatus
Strepsirrhini,Lemuroidea,Lemuridae,Eulemur,Eulemur,Eulemur flavifrons
Strepsirrhini,Lemuroidea,Lemuridae,Eulemur,Eulemur,Eulemur fulvus
Strepsirrhini,Lemuroidea,Lemuridae,Eulemur,Eulemur,Eulemur macaco
